24/09/2010;0;4;99496;-1;-1;-1;-1;59802
27/09/2010;0;11;99631;1;1;1;1;81081
28/09/2010;0;15;99538;1;1;1;1;73794
29/09/2010;0;21;99729;1;1;1;1;114900
30/09/2010;-0;27;99840;1;1;1;1;91773
01/10/2010;0;32;99824;1;1;1;1;67161
04/10/2010;-0;42;99947;1;1;1;1;119482
05/10/2010;0;47;99727;1;1;1;1;78820
06/10/2010;0;56;99525;1;1;1;1;106939
07/10/2010;0;65;99604;1;1;1;1;124154
08/10/2010;0;70;99432;1;1;1;1;44885
11/10/2010;-0;76;99290;1;1;1;1;85419
12/10/2010;0;82;98970;1;1;1;1;66826
13/10/2010;0;87;98830;1;1;1;1;84592
14/10/2010;0;95;98719;1;1;1;1;122103
15/10/2010;-0;103;98629;1;1;1;1;85607
18/10/2010;-0;120;98981;1;1;1;1;175446
19/10/2010;-0;132;99160;1;1;1;1;123250
20/10/2010;0;141;98944;1;1;1;1;116381
21/10/2010;-0;146;98360;1;1;1;1;72209
22/10/2010;0;154;98388;1;1;1;1;83037
25/10/2010;0;161;98131;1;1;1;1;85583
26/10/2010;-0;172;98178;1;1;1;1;127242
27/10/2010;-0;178;97852;1;1;1;1;87885
28/10/2010;0;187;97584;1;1;1;1;88397
29/10/2010;0;193;97407;1;1;1;1;74107
01/11/2010;0;201;97426;1;1;1;1;84736
02/11/2010;0;211;97618;1;1;1;1;120815
03/11/2010;0;220;97498;1;1;1;1;85253
04/11/2010;0;225;97635;1;1;1;1;85253
05/11/2010;0;230;97279;1;1;1;1;74280
08/11/2010;-0;240;97207;1;1;1;1;113447
09/11/2010;-0;245;97098;1;1;1;1;122314
10/11/2010;0;254;96993;1;1;1;1;95474
11/11/2010;-0;264;97359;1;1;1;1;147267
12/11/2010;-0;270;97396;1;1;1;1;95176
15/11/2010;-0;280;97639;1;1;1;1;132096
16/11/2010;-0;286;97657;1;1;1;1;102037
17/11/2010;0;292;97982;1;1;1;1;76168
18/11/2010;0;297;98319;1;1;1;1;84058
19/11/2010;-0;305;98689;1;1;1;1;97045
22/11/2010;0;314;99171;1;1;1;1;130224
23/11/2010;-0;321;99262;1;1;1;1;90100
24/11/2010;0;334;99382;1;1;1;1;102794
26/11/2010;-0;342;99629;1;1;1;1;110502
29/11/2010;-0;348;99957;1;1;1;1;134196
30/11/2010;-0;357;100216;1;1;1;1;117609
01/12/2010;0;366;100453;1;1;1;1;111835
02/12/2010;0;377;100658;1;1;1;1;121600
03/12/2010;0;382;100272;1;1;1;1;17059
06/12/2010;-0;390;99997;1;1;1;1;19964
07/12/2010;-0;396;99731;1;1;1;1;52468
08/12/2010;-0;402;99585;1;1;1;1;53788
09/12/2010;0;406;99335;1;1;1;1;64490
10/12/2010;0;414;99296;1;1;1;1;68082
13/12/2010;0;419;99377;1;1;1;1;85059
14/12/2010;0;427;99376;1;1;1;1;95566
15/12/2010;-0;431;99346;1;1;1;1;68560
16/12/2010;0;436;99561;1;1;1;1;67927
17/12/2010;-0;441;99344;1;1;1;1;58153
20/12/2010;0;445;99181;1;1;1;1;48608
21/12/2010;0;448;99071;1;1;1;1;47732
22/12/2010;0;453;98949;1;1;1;1;46621
23/12/2010;0;459;98706;1;1;1;1;25930
27/12/2010;0;465;98628;1;1;1;1;44678
28/12/2010;0;470;98527;1;1;1;1;40132
29/12/2010;0;474;98410;1;1;1;1;42138
30/12/2010;0;480;97855;1;1;1;1;27516
31/12/2010;0;484;97631;1;1;1;1;58655
03/01/2011;-0;492;97682;1;1;1;1;104037
04/01/2011;-0;499;97925;1;1;1;1;115083
05/01/2011;-0;503;97839;1;1;1;1;99419
06/01/2011;-0;508;97832;1;1;1;1;115329
07/01/2011;0;514;97985;1;1;1;1;90065
10/01/2011;0;521;97897;1;1;1;1;118686
11/01/2011;-0;529;97683;1;1;1;1;108687
12/01/2011;0;535;97780;1;1;1;1;101456
13/01/2011;0;543;97717;1;1;1;1;102608
14/01/2011;-0;551;97980;1;1;1;1;112110
18/01/2011;0;557;97591;1;1;1;1;100948
19/01/2011;0;566;97472;1;1;1;1;142842
20/01/2011;-0;570;96429;1;1;1;1;81020
21/01/2011;0;579;95415;1;1;1;1;81370
24/01/2011;0;585;95300;1;1;1;1;121151
25/01/2011;0;588;95072;1;1;1;1;73945
26/01/2011;0;595;95126;1;1;1;1;110286
27/01/2011;-0;601;95204;1;1;1;1;115096
28/01/2011;0;608;95072;1;1;1;1;90814
31/01/2011;0;619;94896;1;1;1;1;121194
01/02/2011;0;623;94564;1;1;1;1;72225
02/02/2011;-0;627;93651;1;1;1;1;94239
03/02/2011;0;632;92787;1;1;1;1;92552
04/02/2011;-0;636;91957;1;1;1;1;59312
07/02/2011;-0;640;91849;1;1;1;1;96406
08/02/2011;0;643;91520;1;1;1;1;87693
09/02/2011;-0;651;91283;1;1;1;1;104144
10/02/2011;-0;655;90932;1;1;1;1;82922
11/02/2011;0;659;90663;1;1;1;1;69173
14/02/2011;0;665;90293;1;1;1;1;93023
15/02/2011;-0;670;90261;1;1;1;1;100961
16/02/2011;0;677;90193;1;1;1;1;93125
17/02/2011;0;680;89838;1;1;1;1;67270
18/02/2011;0;691;90613;1;1;1;1;152924
22/02/2011;-0;695;91014;1;1;1;1;105058
23/02/2011;0;702;91470;1;1;1;1;117950
24/02/2011;0;707;91413;1;1;1;1;78985
25/02/2011;0;711;91372;1;1;1;1;78459
28/02/2011;0;716;91409;1;1;1;1;92996
01/03/2011;-0;721;91459;1;1;1;1;93375
02/03/2011;0;725;91528;1;1;1;1;90041
03/03/2011;-0;729;91611;1;1;1;1;103748
04/03/2011;0;733;91421;1;1;1;1;22758
07/03/2011;-0;737;91127;1;1;1;1;35773
08/03/2011;-0;741;90885;1;1;1;1;57661
